time,open,high,low,close,Volume,Volume MA
155226600,69.800003,69.800003,64.400002,65.010002,NaN,NaN
155831400,65.010002,69.029999,64.129997,67.07,NaN,NaN
156436200,67.07,69.010002,65.860001,66.910004,NaN,NaN
157041000,66.910004,68.190002,65.339996,67.139999,NaN,NaN
157645800,67.139999,71.639999,66.230003,70.709999,NaN,NaN
158250600,70.709999,73.75,69.040001,72.610001,NaN,NaN
158855400,72.610001,73.809998,70.449997,70.959999,NaN,NaN
159460200,70.959999,73.57,69.800003,72.980003,NaN,NaN
160065000,73.760002,78.690002,73.760002,76.980003,NaN,NaN
160669800,76.980003,80.720001,76,78.629997,NaN,NaN
161274600,78.629997,82.529999,77.379997,81.5,NaN,NaN
161879400,81.5,83.559998,79.830002,82.620003,NaN,NaN
162480600,82.620003,82.709999,78.910004,81.589996,NaN,NaN
163085400,81.589996,85.43,81.32,84.300003,NaN,NaN
163690200,84.300003,85.889999,82.519997,84.760002,NaN,NaN
164295000,84.760002,87.080002,82.519997,83.389999,NaN,NaN
164899800,82.389999,84.879997,80.080002,83.849998,NaN,NaN
165504600,83.849998,84.620003,80.290001,80.879997,NaN,NaN
166109400,80.879997,84.699997,79.660004,84.18,NaN,NaN
166714200,84.18,88.790001,83.980003,86.300003,NaN,NaN
167319000,86.300003,88.639999,85,86.620003,NaN,NaN
167923800,86.620003,89.980003,85,89.220001,NaN,NaN
168528600,89.220001,91.239998,87.599998,90.529999,NaN,NaN
169133400,90.529999,93.510002,89.739998,90.43,NaN,NaN
169738200,90.43,91.449997,88.349998,90.580002,NaN,NaN
170343000,90.580002,91.620003,88.830002,91.150002,NaN,NaN
170947800,91.32,93.760002,91.32,92.480003,NaN,NaN
171552600,92.480003,92.870003,89.300003,90.519997,NaN,NaN
172157400,90.519997,93.75,89.599998,92.610001,NaN,NaN
172762200,92.610001,95.720001,91.809998,94.809998,NaN,NaN
173367000,94.809998,95.849998,93.370003,94.360001,NaN,NaN
173971800,94.360001,96.190002,92.510002,94.660004,NaN,NaN
174576600,94.660004,96.580002,92.389999,93.199997,NaN,NaN
175181400,93.199997,93.93,88.720001,89.290001,NaN,NaN
175786200,89.290001,90.07,87.459999,87.989998,NaN,NaN
176391000,87.989998,88.169998,85.339996,86.019997,NaN,NaN
176995800,86.019997,88.169998,85.019997,86.360001,NaN,NaN
177600600,86.360001,87.209999,82.209999,84.279999,NaN,NaN
178205400,84.279999,87.730003,83.349998,86.879997,NaN,NaN
